Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,285.529999,285.970001,284.920013,285.070007,285.070007,35652400
2018-08-10,283.450012,284.059998,282.359985,283.160004,283.160004,77076000
2018-08-13,283.470001,284.160004,281.769989,282.100006,282.100006,65686900
2018-08-14,282.920013,284.170013,282.480011,283.899994,283.899994,43842000
2018-08-15,282.380005,282.540009,280.160004,281.779999,281.779999,102925400
2018-08-16,283.399994,285.040009,283.359985,284.059998,284.059998,69967900
2018-08-17,283.829987,285.559998,283.369995,285.059998,285.059998,65618500
2018-08-20,285.570007,285.970001,285.059998,285.670013,285.670013,39807500
2018-08-21,286.250000,287.309998,285.709991,286.339996,286.339996,67272000
2018-08-22,285.880005,286.760010,285.579987,286.170013,286.170013,44993300
2018-08-23,285.970001,286.940002,285.429993,285.790009,285.790009,49204900
2018-08-24,286.440002,287.670013,286.380005,287.510010,287.510010,57487400
2018-08-27,288.859985,289.899994,288.679993,289.779999,289.779999,57072400
2018-08-28,290.299988,290.420013,289.399994,289.920013,289.920013,46943500
2018-08-29,290.160004,291.739990,289.890015,291.480011,291.480011,61485500
2018-08-30,290.940002,291.359985,289.630005,290.299988,290.299988,61229500
2018-08-31,289.839996,290.809998,289.290009,290.309998,290.309998,66140800
2018-09-04,289.839996,290.209991,288.679993,289.809998,289.809998,57594400
2018-09-05,289.410004,289.640015,287.890015,289.029999,289.029999,72452400
2018-09-06,289.149994,289.489990,287.000000,288.160004,288.160004,65909900
2018-09-07,286.980011,288.700012,286.709991,287.600006,287.600006,73484400
